zip,5.4480,1,00003,,,
zip,4.4700,6,00004,,,
zip,2,1,00005,,,
zip,3.7645,9,00006,,,
zip,4.4065,2,00011,,,
zip,2.2372,1,00017,,,
zip,1,1,00018,,,
zip,3.4498,1,00033,,,
zip,2.2372,1,00035,,,
zip,1,2,00048,,,
zip,2.2372,1,00052,,,
zip,2,1,00055,,,
zip,2.6912,2,00057,,,
zip,2.0372,1,00058,,,
zip,3.0916,2,00061,,,
zip,3.0916,2,00067,,,
zip,3.4498,1,00069,,,
zip,2.2372,1,00071,,,
zip,2.6912,2,00072,,,
zip,2,1,00073,,,
zip,4.1811,11,00198,,,
zip,3.0916,4,00601,,,
zip,2.5168,2,00602,,,
zip,3.4498,5,00612,,,
zip,3.0916,2,00617,,,
zip,2,1,00624,,,
zip,2,1,00627,,,
zip,3.0916,1,00637,,,
zip,3.5503,2,00638,,,
zip,2.3954,5,00641,,,
zip,2.6912,2,00646,,,
zip,4.5936,1,00650,,,
zip,2.6912,1,00656,,,
zip,2.3799,2,00659,,,
zip,3.6956,3,00664,,,
zip,4.2084,4,00669,,,
zip,3.0916,2,00670,,,
zip,2,1,00674,,,
zip,2.6912,2,00676,,,
zip,2.1052,4,00677,,,
zip,2,1,00678,,,
zip,3.0916,2,00680,,,
zip,2,2,00682,,,
zip,2,1,00683,,,
zip,3.6956,3,00685,,,
zip,2,1,00687,,,
zip,2,2,00692,,,
zip,2.1883,2,00693,,,
zip,3.0916,2,00698,,,
zip,2.3799,2,00703,,,
zip,2,1,00704,,,
zip,2.2372,2,00716,,,
zip,2.9633,4,00718,,,
zip,2.6912,1,00719,,,
zip,2.2372,1,00723,,,
zip,2.8739,12,00725,,,
zip,2.6912,1,00728,,,
zip,3.1217,5,00729,,,
zip,2.3330,2,00730,,,
zip,3.0916,1,00731,,,
zip,2.3330,3,00735,,,
zip,3.4498,2,00736,,,
zip,2.7474,7,00738,,,
zip,2.0372,1,00740,,,
zip,2.2372,2,00741,,,
zip,3.0663,6,00745,,,
zip,3.4498,2,00754,,,
zip,3.8433,11,00765,,,
zip,2.6051,2,00767,,,
zip,3.0916,1,00771,,,
zip,3.7738,4,00772,,,
zip,3.4498,4,00773,,,
zip,2.6912,2,00775,,,
zip,3.0916,1,00777,,,
zip,3.0152,7,00778,,,
zip,2.2372,2,00780,,,
zip,3.3462,6,00783,,,
zip,2.6912,1,00784,,,
zip,3.1571,8,00791,,,
zip,3.0916,1,00794,,,
zip,3.0260,44,00802,,,
zip,2.6912,1,00820,,,
zip,2.5338,9,00830,,,
zip,3.0916,2,00901,,,
zip,2.9370,5,00907,,,
zip,2.2372,1,00909,,,
zip,2.4718,5,00911,,,
zip,2.8973,2,00912,,,
zip,1,1,00915,,,
zip,2.4718,2,00917,,,
zip,2.9370,5,00918,,,
zip,2.6912,1,00920,,,
zip,3.7738,1,00921,,,
zip,3.2152,4,00924,,,
zip,2.5074,23,00926,,,
zip,3.0023,4,00927,,,
zip,2.6912,3,00949,,,
zip,2.6340,3,00953,,,
zip,2.4425,9,00956,,,
zip,3.4498,1,00957,,,
zip,2.8973,5,00959,,,
zip,2,2,00961,,,
zip,2.2372,2,00962,,,
zip,2,1,00965,,,
zip,3.0408,4,00966,,,
zip,2.8570,2,00968,,,
zip,3.0916,11,00969,,,
zip,3.4498,7,00976,,,
zip,3.2754,2,00979,,,
zip,4.5835,4,00983,,,
zip,2.8973,2,00985,,,
zip,2.7543,4,00987,,,
zip,2.2372,1,01040,,,
zip,2,1,01056,,,
zip,2,1,01077,,,
zip,2,1,01089,,,
zip,2,1,01532,,,
zip,1,2,01534,,,
zip,2.0372,1,01609,,,
zip,2.6912,2,01701,,,
zip,1,1,01702,,,
zip,2.8973,2,01721,,,
zip,2.6912,8,01746,,,
zip,1,1,01747,,,
zip,2.4261,2,01748,,,
zip,2,1,01757,,,
zip,1,1,01821,,,
zip,1,1,01851,,,
zip,2.0372,1,01913,,,
zip,2,1,01945,,,
zip,3.7738,1,01970,,,
zip,3.4498,2,02038,,,
zip,1,1,02048,,,
zip,2,1,02050,,,
zip,2,1,02052,,,
zip,2.7525,10,02053,,,
zip,2.3330,3,02054,,,
zip,2,2,02056,,,
zip,3.0916,1,02081,,,
zip,2,1,02130,,,
zip,3.0916,1,02332,,,
zip,2.2372,1,02346,,,
zip,2,1,02421,,,
zip,1,1,02467,,,
zip,1,1,02536,,,
zip,2,3,02559,,,
zip,2.2372,1,02631,,,
zip,2.1387,2,02702,,,
zip,2,2,02703,,,
zip,2,1,02715,,,
zip,2,1,02718,,,
zip,2,3,02720,,,
zip,2.2372,1,02724,,,
zip,2.6912,2,02726,,,
zip,1,2,02740,,,
zip,2,1,02745,,,
zip,2.2372,4,02747,,,
zip,2.2372,2,02769,,,
zip,2.2950,6,02771,,,
zip,2.3330,3,02806,,,
zip,2,4,02809,,,
zip,2,1,02812,,,
zip,2.2372,1,02814,,,
zip,2.5168,14,02816,,,
zip,2.9129,8,02817,,,
zip,2,8,02818,,,
zip,3.0536,2,02822,,,
zip,2.5423,7,02825,,,
zip,2.7958,15,02827,,,
zip,2,3,02831,,,
zip,2,3,02832,,,
zip,2,1,02842,,,
zip,3.4498,10,02852,,,
zip,2.8299,5,02860,,,
zip,3.4498,1,02861,,,
zip,2,2,02864,,,
zip,2.2372,2,02865,,,
zip,2.2372,1,02871,,,
zip,2,4,02874,,,
zip,2,1,02878,,,
zip,2.6627,3,02879,,,
zip,1,1,02881,,,
zip,2,3,02882,,,
zip,3.0916,2,02885,,,
zip,2.8095,15,02886,,,
zip,2.8408,7,02888,,,
zip,2.9053,7,02889,,,
zip,2,1,02891,,,
zip,2,6,02892,,,
zip,3.1847,9,02893,,,
zip,2,2,02894,,,
zip,2.9370,2,02895,,,
zip,3.0916,2,02898,,,
zip,2.1553,3,02904,,,
zip,2,7,02905,,,
zip,2,4,02906,,,
zip,2.6340,7,02908,,,
zip,2,2,02909,,,
zip,3.2031,10,02910,,,
zip,2.4108,6,02911,,,
zip,2.7751,4,02914,,,
zip,3.0916,3,02915,,,
zip,2.2372,1,02916,,,
zip,2.0372,4,02917,,,
zip,3.3512,12,02919,,,
zip,2.9573,15,02920,,,
