"6","28.02","-81.95","FL","Lake Hollingsworth"
"6","30.91","-84.57","GA","Bainbridge"
"6","33.58","-85.07","GA","Carrollton"
"6","34.19","-84.1","GA","Forsyth"
"6","32.53","-81.55","GA","Halcyon Dale"
"6","33.31","-82.1","GA","Hephzibah"
"6","33.04","-85.03","GA","La Grange"
"6","32.67","-81.82","GA","Scarborough"
"6","30.83","-83.28","GA","Valdosta"
"6","31.21","-82.35","GA","Waycross"
"6","37","-89.18","IL","Cairo"
"6","41.88","-87.63","IL","Chicago"
"6","37.76","-89.34","IL","Murphysboro"
"6","39.77","-86.15","IN","Indianapolis"
"6","40.17","-85.72","IN","Madison"
"6","38.95","-84.85","IN","Rising Sun"
"6","39.47","-87.4","IN","Terre Haute"
"6","41.47","-87.06","IN","Valparaiso"
"6","36.76","-85.14","KY","Clinton"
"6","36.85","-83.19","KY","Harlan"
"6","37.25","-83.19","KY","Hazard"
"6","38.09","-83.13","KY","Sandy Hook"
"6","37.53","-84.66","KY","Stanford"
"6","34.53","-78.78","NC","Abbotsburg"
"6","35.1","-80.11","NC","Ansonville"
"6","35.41","-80.58","NC","Concord"
"6","36.45","-76.01","NC","Currituck"
"6","36.3","-76.22","NC","Elizabeth City"
"6","34.31","-79.03","NC","Fair Bluff"
"6","35.27","-82.44","NC","Flat Rock"
"6","36.32","-79.93","NC","Gold Hill"
"6","35.38","-78","NC","Goldsboro"
"6","34.7","-78.38","NC","Gravel Hill"
"6","35.73","-81.34","NC","Hickory"
"6","34.97","-78.95","NC","Hope Mills"
"6","35.08","-78.8","NC","Idaho"
"6","34.77","-79.46","NC","Laurinburg"
"6","35.47","-81.26","NC","Lincolnton"
"6","34.9","-78.06","NC","Magnolia"
"6","34.98","-80.55","NC","Monroe"
"6","33.93","-78","NC","Smithville"
"6","39.85","-81.28","OH","Calais"
"6","40.37","-80.62","OH","Steubenville"
"6","33.54","-81.6","SC","Aiken"
"6","34.3","-82.54","SC","Antreville"
"6","34.82","-82.53","SC","Arnolds Mills"
"6","35.07","-81.75","SC","Arrowwood"
"6","34.53","-82.49","SC","Belton"
"6","34.22","-80.25","SC","Bishopville"
"6","35.12","-81.52","SC","Blacksburg"
"6","34.92","-81.37","SC","Blairsville"
"6","32.24","-80.86","SC","Bluffton"
"6","34.22","-80.97","SC","Blythewood"
"6","33.55","-79.38","SC","Browns Ferry"
"6","32.92","-81.19","SC","Brunson"
"6","33.72","-79.06","SC","Bucksville"
"6","33.92","-82.33","SC","Calhoon Mills"
"6","33.67","-82.17","SC","Clarks Hill"
"6","34.47","-81.88","SC","Clinton"
"6","33.83","-79.05","SC","Conway"
"6","34","-79.13","SC","Cool Springs"
"6","33.38","-81.38","SC","Elko"
"6","33.22","-81.74","SC","Ellenton"
"6","33.4","-80.35","SC","Eutawville"
"6","34.07","-82.32","SC","Frazierville"
"6","34.74","-82.44","SC","Golden Grove"
"6","32.28","-81.08","SC","Hardeeville"
"6","34.45","-82.39","SC","Honea Path"
"6","33.33","-81.79","SC","Jackson"
"6","34.76","-80.66","SC","Lancaster"
"6","33.98","-81.24","SC","Lexington"
"6","34.48","-80.8","SC","Liberty Hill"
"6","34.85","-82.71","SC","Pickens"
"6","34.31","-80.96","SC","Ridgeway"
"6","34.62","-82.48","SC","Williamston"
"6","34.38","-81.09","SC","Winnsboro"
"6","36.3","-84.22","TN","Caryville"
"6","35.05","-85.31","TN","Chattanooga"
"6","35.98","-83.92","TN","Knoxville"
"6","35.92","-88.76","TN","Milan"
"6","36.16","-86.78","TN","Nashville"
"6","36.4","-83.01","TN","Rogersville"
"6","37.13","-80.27","VA","Alleghany Spring"
"6","37.7","-77.4","VA","Ashcake"
"6","36.59","-79.4","VA","Danville"
"6","36.69","-83.11","VA","Jonesville"
"6","37.41","-79.17","VA","Lynchburg"
"6","37.53","-77.42","VA","Manchester"
"6","39.27","-81.56","WV","Parkersburg"
"5","31.99","-87.29","AL","Camden"
"5","33.26","-88.1","AL","Carrollton"
"5","32.7","-87.59","AL","Greensboro"
"5","32.65","-85.38","AL","Opelika"
"5","32.42","-85.69","AL","Tuskegee"
"5","34.57","-85.62","AL","Valley Head"
"5","41.8","-72.72","CT","Hartford"
"5","41.31","-72.92","CT","New Haven"
"5","39.66","-75.56","DE","New Castle"
"5","38.65","-75.61","DE","Seaford"
"5","29.73","-84.99","FL","Apalachicola"
"5","30.56","-81.83","FL","Callahan"
"5","28.47","-80.52","FL","Cape Canaveral Lighthouse"
"5","29.2","-83.02","FL","Cedar Keys"
"5","29.44","-81.51","FL","Crescent City"
"5","29.03","-81.3","FL","De Land"
"5","29.65","-82.33","FL","Gainesville"
"5","30.11","-82.05","FL","Highland"
"5","30.33","-81.66","FL","Jacksonville"
"5","28.81","-81.89","FL","Leesburg"
"5","30.28","-82.12","FL","Macclenny"
"5","28.57","-81.75","FL","Minneola"
"5","29.05","-81.05","FL","New Smyrna"
"5","28.56","-81.38","FL","Orlando"
"5","30.59","-84.58","FL","Quincy"
"5","30.25","-82.27","FL","Sanderson"
"5","28.81","-81.56","FL","Sorrento"
"5","29.95","-82.11","FL","Starke"
"5","30.23","-82.82","FL","Wellborn"
"5","29.97","-81.65","FL","White Sulphur Springs"
"5","32.34","-81.6","GA","Arcola"
"5","33.96","-83.38","GA","Athens"
"5","31.78","-82.35","GA","Baxley"
"5","31.15","-81.49","GA","Brunswick"
"5","32.56","-84.24","GA","Butler"
"5","30.88","-84.21","GA","Cairo"
"5","34.5","-84.95","GA","Calhoun"
"5","32.1","-83.07","GA","Chauncey"
"5","32.2","-83.18","GA","Eastman"
"5","32.18","-81.39","GA","Eden"
"5","34.3","-83.83","GA","Gainesville"
"5","33.25","-84.26","GA","Griffin"
"5","32.33","-81.39","GA","Guyton"
"5","32.28","-83.47","GA","Hawkinsville"
"5","32.81","-83.17","GA","Irwinton"
"5","31.61","-81.88","GA","Jesup"
"5","33.96","-83.99","GA","Lawrenceville"
"5","33.38","-84.67","GA","Longstreet"
"5","32.82","-82.24","GA","Midville"
"5","33.08","-83.24","GA","Milledgeville"
"5","30.97","-81.81","GA","Owens Ferry"
"5","33.62","-83.87","GA","Oxford"
"5","32.56","-84.1","GA","Reynolds"
"5","34.25","-85.17","GA","Rome"
"5","32.98","-82.81","GA","Sandersville"
"5","33.74","-85.29","GA","Tallapoosa"
"5","32.94","-82.81","GA","Tennille"
"5","30.84","-83.98","GA","Thomasville"
