3,-84.51,39.11,45202
3,-81.69,41.49,44113
3,-82.52,40.76,44903
3,-83.53,41.65,43604
3,-75.48,40.61,18102
3,-79.64,41.92,16407
3,-76.62,40.96,17821
3,-80.09,42.13,16507
3,-77.78,40.01,1
3,-76.87,40.27,17103
3,-79.14,40.64,15701
3,-80.15,41.64,16335
3,-75.16,39.95,19107
3,-75.93,40.34,19601
3,-77,41.24,17701
3,-71.52,41.48,02881
3,-71.4,41.91,02864
3,-71.42,41.83,02908
3,-71.5,41.44,02879
3,-71.51,42,02895
3,-76.25,36.9,23513
3,-76.73,37.95,22572
3,-71.98,44.64,05871
3,-87.91,43.03,53204
3,-81.56,39.27,26101
